ID,question,intention
464,i wa prescrib medorrhinum in 3 dose morn horror i had red chestnut loss is it becaus of thi medicin,28
465,im on yaz i got my period that end it 1 week ago ma i tjr light brown loss would that spot what is actual,28
466,gelsinuim and ignatia placebo,34
467,prevenar warm ineffect or riskier,17
468,i got off my steril copper it two week ago do not support thi one for a year and a half but it ha been two week sinc i have thi loss is normal,28
469,i use mélodia sinc 2 month im out of rule i have a risk of pregnanc,48
470,can we replac one inject of engerix b20 2 b10 inject of engerix,0
471,3semain pregnant i have itch in the vulva i wonder if i could use daktarin cream gyno,44
472,i would like to know the releas date of the vaccin against influenza in order to vaccin my daughter at the earliest,18
473,i am diabet insulin depend my doctor presrit me a antiténaniqu repevax vaccin can i fair inject myself,14
474,what inhibitor proton pump,21
475,the use of flagyl in pregnanc is possibl,44
476,my sister ha pulmonari embol and wonder if she could use nuvar,43
477,is that someon know about essenti oil how to use them they choos oil for such a problem advic experi effici,14
478,weight gain in abilifi it is a side effect,28
479,hello i would like to know whether a pregnant woman ha alreadi taken the antibiot amoxicillin,44
480,what is erythrocin,22
481,is it possibl to take oflocet 200 dure pregnanc,44
482,i stop the pill and i trinordiol larg abdomin pain nausea sore skull i wonder if thi is an effect of the pill,21
483,i wonder if anyon know after how long doe the pill varnolin effect,23
484,i stop cycléan 20 there 4 year and then i wait for my period to resum i would like to know how much the 3 chip now,46
485,stop and resum the antibiot it danger or not,48
486,j take miness and i have forgotten to take one tablet in the middl of the plate and when ive finish thi one there 11 day i have not had my red do you think i could be pregnant,48
487,i took clomid j3 to d7 there i am j15 and it pull me in the ovari when i walk doe it mean that im pregnant,28
488,novatrex and weight gain,28
489,is what you think you can be addict to tetrazepam i am treat with thi medic the problem is that the more time pass the more i take i tri to stop take but i wa often irrit i start to resum,28
490,paracetamol overdos,42
491,neoral,22
492,a what are protein,31
493,are the side effect of zoloft are rare,28
494,what about prescript salbutamol or terbutalin aerosol by a gener practition emerg,9
495,what treat alo vera,31
496,4th remind necessari prevenar,42
497,i just learn that im enceintesavez sure if i can continu rubozinc,44
498,cycléan 20 she make you fat,28
499,effizinc and pregnant,44
500,from how long after stop the oral contracept menstruat they come back,26
501,hello here i am under optidtil pill for some month past month i had a 3day oblivion im do pregnanc test are neg here tonight i had my 24th day cycl i should have my sunday rule and ive realiz that i trade yesterday on the last yellow tablet with a placebo tablet tonight so i took the yellow pill there is there ani risk of becom pregnant or not,48
502,there he is someon who know a depend on crestor 20mg anti cholesterol,28
503,hello i would like to know from those like me who are addict to nasal drop rebound effect what is the averag time to find a nose outlet after stop the medicin to summar my stori which is veri common in mani other addict vasoconstrictor there are about 5 year i have develop a first addict to nasal drop rhinospray after a year of habitu i took an appoint at ent who prescrib the nasonex nasal steroid and it had pretti well i have relaps sever month later i then repeat 3 year later an appoint with an ent prescrib me as the nasonex the desir effect wa not at the rendezv addict wa much longer than the first time and i i quickli abandon those who have the same addict as i know how pain it is to live with a stuffi nose sore accompani the head tuesday march 24 at 20h i decid to end my addict to nasal drop obvious the first 24 hour were veri pain especi headach but it wa gradual bearabl at present i am in my fourth day off and although i have a clear nostril at 90 i alway anoth complet block nostril from the start and i almost mani onc relaps in the lead i take from time to time when breath becom difficult oral nasal decongest which it doe not caus nor support the drug rhiniti but it effect is quit limit all thi to come back to my origin question what is the averag time to find a nose complet led after stop the medicin i also think that after all these year it may not be possibl that it is entir free thank you for your opinion,26
504,i suffer from pain period ultra i want a treatment herbal medicin or homeopathi veri effect against menstrual pain can you help me,32
505,seroxat is what give the impress of collaps and cri for noth,28
506,i have put my 3rd evra patch of the month yesterday and sinc i have the 3d dark marront loss i am also know what could reduc the effect of the patch,11
507,im go to chang contracetif and i want to know if someon connais nuvar what problem you encount,28
508,i am under treatment i began by muscl tranquil but no effect i now take stresam stilnox and atarax my husband can not stand that i prennn these drug so i stop these treatment along with my pill today i sleep badli and veri littl ive miss a period is thi a sign or is thi simpli a delay due to a crash of the ad,21
509,1 week ago i went from effexor 50 to 25 and is the cata if i again 50mg how long will it take me to regain my balanc,23
510,humex allow you to sleep better,31
511,my son is current treat by zeclar 50mg ml oral solut feel sever pain in the stomach is it possibl to associ the débridat zeclar,34
512,we can mix the drug solupr and ibuprofen,34
513,what is the composit of pneumovax,5
514,bisoprolol and pregnanc,44
515,i stop dian 35 ago 2 month now and the first time my period g a littl late but i had them and thi month i have not had a review or normal c pa,21
516,i take solupr i sleep disord and digest disord there exist such side effect solupr,28
517,my husband is under subutex doe anyon know if the subutex can have advers effect on sperm,28
518,can i take prozac 2 in the morn instead of one,42
519,i took recent advis the betain citrat to eas digest without know that these stomach pain were due to pregnanc what can be the consequ,44
520,stablon is what caus hair loss,28
521,is there anyon can give me inform on methadon,22
522,i think i have cystiti what do you recommend,32
523,what is the methergin,22
524,i wonder if i can take seroxat and 5htp or if it could be danger to take at the same time,34
525,which therapi can be use to lute against the annorexi,32
526,i make a respons after take repevax what should i do,11
527,a pharmacist receiv the prescript of a half patch femseptevo 50microgramm 7microgramm 24 patch day she ask whether the patch can be cut,49
528,i want to know if the vaccin gardasil 3 year after have sex wa shown,31
529,homeo solut to delay rule have in you,32
530,is that i will not gain weight under jasminel,28
531,seroxat anti depress,31
532,if unsuccess treatment with azithromycin or doxycyclin chlamidia for what,0
533,anoth possibl assay as glucophag 100,25
534,how mani drop of célestèn to give for a 11 month old babi weigh 8 kilogram,42
535,take cerazett 2 month and dérégléenorm,28
536,current treat with 5mg tercian i feel sever headach is it the drug,28
537,low cortisol there he a drug to help,32
538,my grandfath ha been vaccin against the flu there 15 day and sinc it is the cat tremor outbreak of fever etc and doctor do not know what he ha thi is a side effect of the vaccin,28
539,is thi normal excess sweat and pill optimizett,28
540,evra patch in patient with emetophobia,43
541,i remov my iud mirena gygi and told me i wa ovul period i had unprotect sex with my husband the day befor the withdraw sinc i chestnut loss but i think we can also have these symptom after an iud as long as everyth is back in place right,21
542,saturday night i forgot to take my pill 17th and took the next day but think i vomit 4 day befor forget my pill i had unprotect sex do i risk of pregnanc due to report my plate end in 3 day the start of the next can i start have unprotect sex,39
